path,module,source_set,classification,inferred_production_reachability,inferred_main_callers_or_consumers,inventory_status,historical_change_or_finding_reference,suggested_disposition
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/session/build/test-results/desktopTest/TEST-com.parlor.session.passandplay.PassAndPlaySessionControllerCloseRaceTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/session/build/test-results/desktopTest/TEST-com.parlor.session.passandplay.RestoredStateTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/storage/build/reports/detekt/detekt.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/storage/build/reports/detekt/detektMetadataCommonMain.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/storage/build/test-results/desktopTest/TEST-com.parlor.storage.secure.PlatformKeyedSecureStorageTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/storage/build/test-results/desktopTest/TEST-com.parlor.storage.settings.PersistentSettingsStoreTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/storage/build/test-results/desktopTest/TEST-com.parlor.storage.snapshot.FileBackedSnapshotStoreTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/storage/build/test-results/desktopTest/TEST-com.parlor.storage.snapshot.SerializedSnapshotWriterTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/reports/detekt/detekt.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/reports/detekt/detektAndroidRelease.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/reports/detekt/detektDesktopMain.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/reports/detekt/detektDesktopTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/reports/detekt/detektMetadataCommonMain.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.AndroidManifestLanPermissionTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.AndroidReleaseLintContractTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.AppLifecycleRoomCoordinatorTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.AppLifecycleRoomRegistrationTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.DesktopDependencyVerificationContractTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.DiscoveryCandidateSchedulerTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.HostOpeningCancellationTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.IosInfoPlistBonjourTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.JupiterDiscoveryContractTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.MultiplayerDocumentationContractTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.P2pDiagnosticsTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.P2pKitCreationTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.P2pKitMavenProvenanceContractTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.P2pKitRoomTransportLifecycleTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.P2pKitRoomTransportLoopbackTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.P2pTrafficPolicyTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.PeerOpeningCancellationTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.ProductionVerificationWorkflowContractTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.ResumableCredentialStoreTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/reports/shared/transport-p2p/build/test-results/desktopTest/TEST-com.parlor.transport.p2p.TestTransportIsolationContractTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/stop.log,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/combined-production-04/test-receipts.json,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/artifact-receipts.json,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/gradle.log,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/receipt.json,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.ActiveTextContrastCallSiteTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.ParlorSafeAreaTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.ParlorToastHostInsetsTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.ParlorToastLifetimeTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.ParlorToastStateTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.ReconnectingOverlayFocusTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.RecoveryActionContrastTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.SessionExitBackPolicyTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.SessionExitOverlayLayoutTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.SessionExitOverlayTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-05-confirmed-fixes/evidence/design-toast-cover-01/reports/shared/design-system/build/test-results/desktopTest/TEST-com.parlor.designsystem.components.StickyActionLayoutTest.xml,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 38354a9d9b888ed3436444c806ddf48e45997e5b (docs(handoff): preserve complete audit evidence and continuation checkpoint); independent review not attested,"RETAIN in the current production, build, test, or release contract"
